Strategy_FutScen_nr,District,Zone,Region,Strata,Strata_withoutUrban,Strategy,FutScen_label
2,Karatu,Northern,Arusha,very low,very low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,MDA
2,Njombe Urban,Southern Highlands,Njombe,very low,very low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,MDA
2,Hanang,Central,Manyara,very low,very low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,MDA
2,Hai,Northern,Kilimanjaro,very low,very low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,MDA
2,Monduli,Northern,Arusha,very low,very low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,MDA
2,Rombo,Northern,Kilimanjaro,very low,very low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,MDA
2,Kondoa TC,Central,Dodoma,very low,very low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,MDA
2,Babati Urban,Central,Manyara,very low,very low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,MDA
3,Wanging'ombe,Southern Highlands,Njombe,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Hai,Northern,Kilimanjaro,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Bumbuli,Northern,Tanga,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Mafinga Township Authority,Southern Highlands,Iringa,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Babati,Central,Manyara,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Mbozi,Southwest Highlands,Songwe,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Makete,Southern Highlands,Njombe,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Makambako Township Authority,Southern Highlands,Njombe,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Babati,Central,Manyara,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Moshi,Northern,Kilimanjaro,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Kondoa TC,Central,Dodoma,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Meru,Northern,Arusha,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Karatu,Northern,Arusha,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Mbulu TC,Central,Manyara,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Arusha,Northern,Arusha,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Tunduma,Southwest Highlands,Songwe,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Meru,Northern,Arusha,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Arusha,Northern,Arusha,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Hanang,Central,Manyara,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Makete,Southern Highlands,Njombe,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Tunduma,Southwest Highlands,Songwe,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Hanang,Central,Manyara,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Mwanga,Northern,Kilimanjaro,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Ngorongoro,Northern,Arusha,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Mbozi,Southwest Highlands,Songwe,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Wanging'ombe,Southern Highlands,Njombe,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Njombe Urban,Southern Highlands,Njombe,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Mwanga,Northern,Kilimanjaro,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Siha,Northern,Kilimanjaro,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Hai,Northern,Kilimanjaro,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Babati Urban,Central,Manyara,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Ngorongoro,Northern,Arusha,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Njombe Urban,Southern Highlands,Njombe,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Rombo,Northern,Kilimanjaro,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Mafinga Township Authority,Southern Highlands,Iringa,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Babati Urban,Central,Manyara,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Kondoa TC,Central,Dodoma,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Mbulu TC,Central,Manyara,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Mbulu,Central,Manyara,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Monduli,Northern,Arusha,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Makambako Township Authority,Southern Highlands,Njombe,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Rombo,Northern,Kilimanjaro,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Singida,Central,Singida,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Longido,Northern,Arusha,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Singida,Central,Singida,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Arusha Urban,Northern,Arusha,urban,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Longido,Northern,Arusha,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Mbulu,Central,Manyara,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Bumbuli,Northern,Tanga,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Monduli,Northern,Arusha,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Karatu,Northern,Arusha,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Moshi,Northern,Kilimanjaro,very low,very low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,no increase in CM
3,Siha,Northern,Kilimanjaro,very low,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
3,Singida Urban,Central,Singida,urban,very low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,no increase in CM
19,Iringa Urban,Southern Highlands,Iringa,urban,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Mufindi,Southern Highlands,Iringa,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Iringa,Southern Highlands,Iringa,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Mbeya,Southwest Highlands,Mbeya,urban,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Iramba,Central,Singida,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Ilala,Eastern,Daressalaam,urban,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Bukoba Urban,Lake,Kagera,urban,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Nyamagana,Lake,Mwanza,urban,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Lushoto,Northern,Tanga,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Mkalama,Central,Singida,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Kilolo,Southern Highlands,Iringa,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Kondoa,Central,Dodoma,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Simanjiro,Central,Manyara,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Kondoa,Central,Dodoma,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Kiteto,Central,Manyara,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Iringa Urban,Southern Highlands,Iringa,urban,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Kinondoni,Eastern,Daressalaam,urban,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous-LARV
19,Manyoni,Central,Singida,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Ikungi,Central,Singida,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Bukoba Urban,Lake,Kagera,urban,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous-LARV
19,Iringa,Southern Highlands,Iringa,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Mbarali,Southwest Highlands,Mbeya,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Nyamagana,Lake,Mwanza,urban,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Simanjiro,Central,Manyara,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Iringa Urban,Southern Highlands,Iringa,urban,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Chemba,Central,Dodoma,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Kinondoni,Eastern,Daressalaam,urban,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Mbeya Urban,Southwest Highlands,Mbeya,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Dodoma Urban,Central,Dodoma,urban,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Moshi Urban,Northern,Kilimanjaro,urban,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous-LARV
19,Sumbawanga Urban,Southwest Highlands,Rukwa,urban,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Kilolo,Southern Highlands,Iringa,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Rungwe,Southwest Highlands,Mbeya,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Ubungo MC,Eastern,Daressalaam,urban,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Ikungi,Central,Singida,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Sumbawanga,Southwest Highlands,Rukwa,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Temeke,Eastern,Daressalaam,urban,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Manyoni,Central,Singida,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Moshi Urban,Northern,Kilimanjaro,urban,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Temeke,Eastern,Daressalaam,urban,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Gairo,Eastern,Morogoro,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Mbeya Urban,Southwest Highlands,Mbeya,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Kiteto,Central,Manyara,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Njombe,Southern Highlands,Njombe,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Same,Northern,Kilimanjaro,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Ubungo MC,Eastern,Daressalaam,urban,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Sumbawanga Urban,Southwest Highlands,Rukwa,urban,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Kilolo,Southern Highlands,Iringa,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Kinondoni,Eastern,Daressalaam,urban,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Ubungo MC,Eastern,Daressalaam,urban,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous-LARV
19,Gairo,Eastern,Morogoro,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Chamwino,Central,Dodoma,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Kinondoni,Eastern,Daressalaam,urban,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Ileje,Southwest Highlands,Songwe,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Temeke,Eastern,Daressalaam,urban,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Mufindi,Southern Highlands,Iringa,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Ilala,Eastern,Daressalaam,urban,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous-LARV
19,Kondoa,Central,Dodoma,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Moshi Urban,Northern,Kilimanjaro,urban,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Mbeya,Southwest Highlands,Mbeya,urban,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous-LARV
19,Mpimbwe,Southwest Highlands,Katavi,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Kongwa,Central,Dodoma,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Sumbawanga,Southwest Highlands,Rukwa,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Iramba,Central,Singida,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Ileje,Southwest Highlands,Songwe,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Chamwino,Central,Dodoma,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Lushoto,Northern,Tanga,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Simanjiro,Central,Manyara,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Ubungo MC,Eastern,Daressalaam,urban,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Mkalama,Central,Singida,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Iringa,Southern Highlands,Iringa,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Rungwe,Southwest Highlands,Mbeya,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Manyoni,Central,Singida,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Mbeya,Southwest Highlands,Mbeya,urban,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Sumbawanga Urban,Southwest Highlands,Rukwa,urban,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Dodoma Urban,Central,Dodoma,urban,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous-LARV
19,Ikungi,Central,Singida,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Mbarali,Southwest Highlands,Mbeya,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Dodoma Urban,Central,Dodoma,urban,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Iramba,Central,Singida,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Mpimbwe,Southwest Highlands,Katavi,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Rungwe,Southwest Highlands,Mbeya,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Nyamagana,Lake,Mwanza,urban,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous-LARV
19,Bukoba Urban,Lake,Kagera,urban,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Same,Northern,Kilimanjaro,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Sumbawanga,Southwest Highlands,Rukwa,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Njombe,Southern Highlands,Njombe,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Iringa Urban,Southern Highlands,Iringa,urban,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous-LARV
19,Mufindi,Southern Highlands,Iringa,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Ilala,Eastern,Daressalaam,urban,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Mkalama,Central,Singida,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Dodoma Urban,Central,Dodoma,urban,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Chemba,Central,Dodoma,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Sumbawanga Urban,Southwest Highlands,Rukwa,urban,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous-LARV
19,Mpimbwe,Southwest Highlands,Katavi,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Njombe,Southern Highlands,Njombe,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Lushoto,Northern,Tanga,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Bukoba Urban,Lake,Kagera,urban,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Kongwa,Central,Dodoma,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Chamwino,Central,Dodoma,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Same,Northern,Kilimanjaro,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Mbeya Urban,Southwest Highlands,Mbeya,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Chemba,Central,Dodoma,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Mbeya,Southwest Highlands,Mbeya,urban,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Kongwa,Central,Dodoma,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Moshi Urban,Northern,Kilimanjaro,urban,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Kiteto,Central,Manyara,low,low,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
19,Gairo,Eastern,Morogoro,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Nyamagana,Lake,Mwanza,urban,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
19,Mbarali,Southwest Highlands,Mbeya,low,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Ilala,Eastern,Daressalaam,urban,low,revNMSP7a_adj_VConly,ITN continuous-LARV
19,Temeke,Eastern,Daressalaam,urban,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous-LARV
19,Ileje,Southwest Highlands,Songwe,low,low,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
21,Chamwino,Central,Dodoma,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Chemba,Central,Dodoma,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Kondoa,Central,Dodoma,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Ubungo MC,Eastern,Daressalaam,urban,low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,ITN continuous
21,Moshi Urban,Northern,Kilimanjaro,urban,low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,ITN continuous
21,Iramba,Central,Singida,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Kinondoni,Eastern,Daressalaam,urban,low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,ITN continuous
21,Sumbawanga Urban,Southwest Highlands,Rukwa,urban,low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,ITN continuous
21,Mbeya Urban,Southwest Highlands,Mbeya,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Gairo,Eastern,Morogoro,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Manyoni,Central,Singida,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Ilala,Eastern,Daressalaam,urban,low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,ITN continuous
21,Kongwa,Central,Dodoma,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Njombe,Southern Highlands,Njombe,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Same,Northern,Kilimanjaro,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Kilolo,Southern Highlands,Iringa,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Temeke,Eastern,Daressalaam,urban,low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,ITN continuous
21,Simanjiro,Central,Manyara,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Dodoma Urban,Central,Dodoma,urban,low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,ITN continuous
21,Mbarali,Southwest Highlands,Mbeya,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Iringa,Southern Highlands,Iringa,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Lushoto,Northern,Tanga,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Kiteto,Central,Manyara,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Mufindi,Southern Highlands,Iringa,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Nyamagana,Lake,Mwanza,urban,low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,ITN continuous
21,Rungwe,Southwest Highlands,Mbeya,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Mpimbwe,Southwest Highlands,Katavi,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Bukoba Urban,Lake,Kagera,urban,low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,ITN continuous
21,Mkalama,Central,Singida,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Ileje,Southwest Highlands,Songwe,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Iringa Urban,Southern Highlands,Iringa,urban,low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,ITN continuous
21,Ikungi,Central,Singida,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Sumbawanga,Southwest Highlands,Rukwa,low,low,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous
21,Mbeya,Southwest Highlands,Mbeya,urban,low,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,ITN continuous
25,Morogoro Urban,Eastern,Morogoro,urban,moderate,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous-LARV
25,Shinyanga Urban,Lake,Shinyanga,urban,moderate,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
25,Musoma Urban,Lake,Mara,urban,moderate,revNMSP7a_adj_VConly,ITN continuous-LARV
25,Ilemela,Lake,Mwanza,urban,moderate,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous-LARV
25,Mpanda Urban,Southwest Highlands,Katavi,urban,moderate,revNMSP7a_adj_VConly,ITN continuous-LARV
25,Songea Urban,Southern Highlands,Ruvuma,urban,moderate,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous-LARV
25,Lindi Urban,Southern,Lindi,urban,high,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
25,Lindi Urban,Southern,Lindi,urban,high,revNMSP7b_adj_VConly_withIPTsc,ITN continuous-LARV
25,Shinyanga Urban,Lake,Shinyanga,urban,moderate,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,ITN continuous-LARV
25,Tanga Urban,Northern,Tanga,urban,moderate,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,ITN continuous-LARV
