Strategy_FutScen_nr,District,Zone,Region,Strata,Strata_withoutUrban,Strategy,FutScen_label
15,Muheza,Northern,Tanga,high,high,NMSPcurrent,ITN MRC
15,Mpwapwa,Central,Dodoma,moderate,moderate,NMSPcurrent,ITN MRC
15,Longido,Northern,Arusha,very low,very low,NMSPcurrent,ITN MRC
15,Momba,Southwest Highlands,Songwe,moderate,moderate,NMSPcurrent,ITN MRC
25,Mpanda Urban,Southwest Highlands,Katavi,urban,moderate,NMSPcurrent,ITN continuous-LARV
25,Lindi Urban,Southern,Lindi,urban,high,NMSPcurrent,ITN continuous-LARV
25,Bukoba Urban,Lake,Kagera,urban,low,NMSPcurrent,ITN continuous-LARV
25,Mtwara Urban,Southern,Mtwara,urban,high,NMSPcurrent,ITN continuous-LARV
25,Ilemela,Lake,Mwanza,urban,moderate,NMSPcurrent,ITN continuous-LARV
25,Songea Urban,Southern Highlands,Ruvuma,urban,moderate,NMSPcurrent,ITN continuous-LARV
25,Morogoro Urban,Eastern,Morogoro,urban,moderate,NMSPcurrent,ITN continuous-LARV
25,Kigoma Urban,Western,Kigoma,urban,high,NMSPcurrent,ITN continuous-LARV
25,Musoma Urban,Lake,Mara,urban,moderate,NMSPcurrent,ITN continuous-LARV
25,Tabora Urban,Western,Tabora,urban,high,NMSPcurrent,ITN continuous-LARV
25,Nyamagana,Lake,Mwanza,urban,low,NMSPcurrent,ITN continuous-LARV
25,Shinyanga Urban,Lake,Shinyanga,urban,moderate,NMSPcurrent,ITN continuous-LARV
27,Nanyumbu,Southern,Mtwara,high,high,NMSPcurrent,ITN continuous
27,Buhigwe,Western,Kigoma,high,high,NMSPcurrent,ITN continuous
27,Kasulu Township Authority,Western,Kigoma,moderate,moderate,NMSPcurrent,ITN continuous
27,Nanyamba TC,Southern,Mtwara,high,high,NMSPcurrent,ITN continuous
27,Meatu,Lake,Simiyu,moderate,moderate,NMSPcurrent,ITN continuous
27,Lindi,Southern,Lindi,high,high,NMSPcurrent,ITN continuous
27,Kisarawe,Eastern,Pwani,high,high,NMSPcurrent,ITN continuous
27,Kigoma,Western,Kigoma,high,high,NMSPcurrent,ITN continuous
27,Itilima,Lake,Simiyu,moderate,moderate,NMSPcurrent,ITN continuous
27,Malinyi,Eastern,Morogoro,high,high,NMSPcurrent,ITN continuous
27,Kasulu,Western,Kigoma,high,high,NMSPcurrent,ITN continuous
27,Sikonge,Western,Tabora,high,high,NMSPcurrent,ITN continuous
27,Tandahimba,Southern,Mtwara,high,high,NMSPcurrent,ITN continuous
27,Maswa,Lake,Simiyu,moderate,moderate,NMSPcurrent,ITN continuous
27,Nachingwea,Southern,Lindi,high,high,NMSPcurrent,ITN continuous
27,Kilwa,Southern,Lindi,high,high,NMSPcurrent,ITN continuous
27,Masasi Township Authority,Southern,Mtwara,high,high,NMSPcurrent,ITN continuous
27,Mbinga,Southern Highlands,Ruvuma,moderate,moderate,NMSPcurrent,ITN continuous
27,Urambo,Western,Tabora,high,high,NMSPcurrent,ITN continuous
27,Kahama TC,Lake,Shinyanga,moderate,moderate,NMSPcurrent,ITN continuous
27,Ifakara,Eastern,Morogoro,moderate,moderate,NMSPcurrent,ITN continuous
27,Bariadi TC,Lake,Simiyu,moderate,moderate,NMSPcurrent,ITN continuous
27,Kilombero,Eastern,Morogoro,moderate,moderate,NMSPcurrent,ITN continuous
27,Uyui,Western,Tabora,high,high,NMSPcurrent,ITN continuous
27,Mpanda,Southwest Highlands,Katavi,moderate,moderate,NMSPcurrent,ITN continuous
27,Nyasa,Southern Highlands,Ruvuma,high,high,NMSPcurrent,ITN continuous
27,Nzega,Western,Tabora,high,high,NMSPcurrent,ITN continuous
27,Newala DC,Southern,Mtwara,high,high,NMSPcurrent,ITN continuous
27,Mkuranga,Eastern,Pwani,high,high,NMSPcurrent,ITN continuous
27,Newala TC,Southern,Mtwara,moderate,moderate,NMSPcurrent,ITN continuous
27,Mlele,Southwest Highlands,Katavi,high,high,NMSPcurrent,ITN continuous
27,Mbinga TC,Southern Highlands,Ruvuma,moderate,moderate,NMSPcurrent,ITN continuous
27,Busega,Lake,Simiyu,moderate,moderate,NMSPcurrent,ITN continuous
27,Bariadi DC,Lake,Simiyu,high,high,NMSPcurrent,ITN continuous
27,Chalinze,Eastern,Pwani,moderate,moderate,NMSPcurrent,ITN continuous
27,Igunga,Western,Tabora,moderate,moderate,NMSPcurrent,ITN continuous
27,Mvomero,Eastern,Morogoro,moderate,moderate,NMSPcurrent,ITN continuous
27,Uvinza,Western,Kigoma,high,high,NMSPcurrent,ITN continuous
27,Masasi,Southern,Mtwara,high,high,NMSPcurrent,ITN continuous
27,Liwale,Southern,Lindi,high,high,NMSPcurrent,ITN continuous
27,Kishapu,Lake,Shinyanga,moderate,moderate,NMSPcurrent,ITN continuous
27,Kibiti,Eastern,Pwani,high,high,NMSPcurrent,ITN continuous
27,Kibaha Urban,Eastern,Pwani,moderate,moderate,NMSPcurrent,ITN continuous
27,Madaba,Southern Highlands,Ruvuma,moderate,moderate,NMSPcurrent,ITN continuous
27,Mafia,Eastern,Pwani,high,high,NMSPcurrent,ITN continuous
27,Bagamoyo,Eastern,Pwani,moderate,moderate,NMSPcurrent,ITN continuous
27,Ulanga,Eastern,Morogoro,high,high,NMSPcurrent,ITN continuous
27,Kakonko,Western,Kigoma,high,high,NMSPcurrent,ITN continuous
27,Kaliua,Western,Tabora,high,high,NMSPcurrent,ITN continuous
27,Nsimbo,Southwest Highlands,Katavi,high,high,NMSPcurrent,ITN continuous
27,Kibaha,Eastern,Pwani,high,high,NMSPcurrent,ITN continuous
27,Kilosa,Eastern,Morogoro,moderate,moderate,NMSPcurrent,ITN continuous
27,Namtumbo,Southern Highlands,Ruvuma,high,high,NMSPcurrent,ITN continuous
27,Mpimbwe,Southwest Highlands,Katavi,low,low,NMSPcurrent,ITN continuous
27,Ruangwa,Southern,Lindi,high,high,NMSPcurrent,ITN continuous
27,Gairo,Eastern,Morogoro,low,low,NMSPcurrent,ITN continuous
27,Tunduru,Southern Highlands,Ruvuma,high,high,NMSPcurrent,ITN continuous
27,Kibondo,Western,Kigoma,high,high,NMSPcurrent,ITN continuous
27,Rufiji,Eastern,Pwani,high,high,NMSPcurrent,ITN continuous
27,Morogoro,Eastern,Morogoro,high,high,NMSPcurrent,ITN continuous
27,Ushetu,Lake,Shinyanga,high,high,NMSPcurrent,ITN continuous
27,Nzega TC,Western,Tabora,high,high,NMSPcurrent,ITN continuous
27,Shinyanga,Lake,Shinyanga,high,high,NMSPcurrent,ITN continuous
27,Mtwara DC,Southern,Mtwara,high,high,NMSPcurrent,ITN continuous
27,Songea DC,Southern Highlands,Ruvuma,high,high,NMSPcurrent,ITN continuous
27,Msalala,Lake,Shinyanga,high,high,NMSPcurrent,ITN continuous
30,Biharamulo,Lake,Kagera,high,high,NMSPcurrent,ITN continuous-IRS
30,Kyerwa,Lake,Kagera,high,high,NMSPcurrent,ITN continuous-IRS
30,Bukoba,Lake,Kagera,high,high,NMSPcurrent,ITN continuous-IRS
30,Missenyi,Lake,Kagera,high,high,NMSPcurrent,ITN continuous-IRS
30,Rorya,Lake,Mara,high,high,NMSPcurrent,ITN continuous-IRS
30,Chato,Lake,Geita,high,high,NMSPcurrent,ITN continuous-IRS
30,Magu,Lake,Mwanza,moderate,moderate,NMSPcurrent,ITN continuous-IRS
30,Kwimba,Lake,Mwanza,moderate,moderate,NMSPcurrent,ITN continuous-IRS
30,Musoma,Lake,Mara,high,high,NMSPcurrent,ITN continuous-IRS
30,Sengerema DC,Lake,Mwanza,high,high,NMSPcurrent,ITN continuous-IRS
30,Serengeti,Lake,Mara,high,high,NMSPcurrent,ITN continuous-IRS
30,Karagwe,Lake,Kagera,high,high,NMSPcurrent,ITN continuous-IRS
30,Buchosa DC,Lake,Mwanza,high,high,NMSPcurrent,ITN continuous-IRS
30,Misungwi,Lake,Mwanza,high,high,NMSPcurrent,ITN continuous-IRS
30,Tarime TC,Lake,Mara,moderate,moderate,NMSPcurrent,ITN continuous-IRS
30,Geita Town,Lake,Geita,moderate,moderate,NMSPcurrent,ITN continuous-IRS
30,Geita,Lake,Geita,high,high,NMSPcurrent,ITN continuous-IRS
30,Bunda DC,Lake,Mara,high,high,NMSPcurrent,ITN continuous-IRS
30,Bunda TC,Lake,Mara,moderate,moderate,NMSPcurrent,ITN continuous-IRS
30,Ukerewe,Lake,Mwanza,high,high,NMSPcurrent,ITN continuous-IRS
30,Muleba,Lake,Kagera,high,high,NMSPcurrent,ITN continuous-IRS
30,Nyang'wale,Lake,Geita,high,high,NMSPcurrent,ITN continuous-IRS
30,Butiama,Lake,Mara,high,high,NMSPcurrent,ITN continuous-IRS
30,Ngara,Lake,Kagera,high,high,NMSPcurrent,ITN continuous-IRS
30,Bukombe,Lake,Geita,moderate,moderate,NMSPcurrent,ITN continuous-IRS
30,Tarime,Lake,Mara,high,high,NMSPcurrent,ITN continuous-IRS
30,Mbogwe,Lake,Geita,high,high,NMSPcurrent,ITN continuous-IRS
43,Moshi Urban,Northern,Kilimanjaro,urban,low,NMSPcurrent.withCM,increase in CM - ITN MRC-LARV
43,Kinondoni,Eastern,Daressalaam,urban,low,NMSPcurrent.withCM,increase in CM - ITN MRC-LARV
43,Ilala,Eastern,Daressalaam,urban,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC-LARV
43,Ubungo MC,Eastern,Daressalaam,urban,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC-LARV
43,Tanga Urban,Northern,Tanga,urban,moderate,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC-LARV
43,Sumbawanga Urban,Southwest Highlands,Rukwa,urban,low,NMSPcurrent.withCM,increase in CM - ITN MRC-LARV
43,Mbeya Urban,Southwest Highlands,Mbeya,low,low,NMSPcurrent.withCM,increase in CM - ITN MRC-LARV
43,Ilala,Eastern,Daressalaam,urban,low,NMSPcurrent.withCM,increase in CM - ITN MRC-LARV
43,Dodoma Urban,Central,Dodoma,urban,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC-LARV
43,Tanga Urban,Northern,Tanga,urban,moderate,NMSPcurrent.withCM,increase in CM - ITN MRC-LARV
43,Temeke,Eastern,Daressalaam,urban,low,NMSPcurrent.withCM,increase in CM - ITN MRC-LARV
43,Sumbawanga Urban,Southwest Highlands,Rukwa,urban,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC-LARV
43,Dodoma Urban,Central,Dodoma,urban,low,NMSPcurrent.withCM,increase in CM - ITN MRC-LARV
43,Iringa Urban,Southern Highlands,Iringa,urban,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC-LARV
43,Kigamboni,Eastern,Daressalaam,urban,moderate,NMSPcurrent.withCM,increase in CM - ITN MRC-LARV
43,Mbeya Urban,Southwest Highlands,Mbeya,low,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC-LARV
43,Kinondoni,Eastern,Daressalaam,urban,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC-LARV
43,Moshi Urban,Northern,Kilimanjaro,urban,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC-LARV
43,Arusha Urban,Northern,Arusha,urban,very low,NMSPcurrent.withCM,increase in CM - ITN MRC-LARV
43,Iringa Urban,Southern Highlands,Iringa,urban,low,NMSPcurrent.withCM,increase in CM - ITN MRC-LARV
43,Temeke,Eastern,Daressalaam,urban,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC-LARV
43,Singida Urban,Central,Singida,urban,very low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC-LARV
43,Ubungo MC,Eastern,Daressalaam,urban,low,NMSPcurrent.withCM,increase in CM - ITN MRC-LARV
43,Kigamboni,Eastern,Daressalaam,urban,moderate,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC-LARV
43,Singida Urban,Central,Singida,urban,very low,NMSPcurrent.withCM,increase in CM - ITN MRC-LARV
43,Arusha Urban,Northern,Arusha,urban,very low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC-LARV
45,Arusha,Northern,Arusha,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Kilindi,Northern,Tanga,high,high,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Babati,Central,Manyara,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Babati Urban,Central,Manyara,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Wanging'ombe,Southern Highlands,Njombe,very low,very low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Bahi,Central,Dodoma,moderate,moderate,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Kalambo,Southwest Highlands,Rukwa,moderate,moderate,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Makete,Southern Highlands,Njombe,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Mwanga,Northern,Kilimanjaro,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Kiteto,Central,Manyara,low,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Kondoa,Central,Dodoma,low,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Kondoa TC,Central,Dodoma,very low,very low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Kongwa,Central,Dodoma,low,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Korogwe,Northern,Tanga,moderate,moderate,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Bumbuli,Northern,Tanga,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Handeni Mjini,Northern,Tanga,high,high,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Ngorongoro,Northern,Arusha,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Njombe,Southern Highlands,Njombe,low,low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Busokelo,Southwest Highlands,Mbeya,high,high,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Nkasi,Southwest Highlands,Rukwa,moderate,moderate,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Kilolo,Southern Highlands,Iringa,low,low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Chamwino,Central,Dodoma,low,low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Ludewa,Southern Highlands,Njombe,moderate,moderate,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Chemba,Central,Dodoma,low,low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Chunya,Southwest Highlands,Mbeya,moderate,moderate,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Babati,Central,Manyara,very low,very low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Pangani,Northern,Tanga,moderate,moderate,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Rombo,Northern,Kilimanjaro,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Makambako Township Authority,Southern Highlands,Njombe,very low,very low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Hai,Northern,Kilimanjaro,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Hanang,Central,Manyara,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Handeni,Northern,Tanga,high,high,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Handeni Mjini,Northern,Tanga,high,high,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Same,Northern,Kilimanjaro,low,low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Kyela,Southwest Highlands,Mbeya,moderate,moderate,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Ikungi,Central,Singida,low,low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Mbeya,Southwest Highlands,Mbeya,urban,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Ileje,Southwest Highlands,Songwe,low,low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Siha,Northern,Kilimanjaro,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Iramba,Central,Singida,low,low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Iringa,Southern Highlands,Iringa,low,low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Mbozi,Southwest Highlands,Songwe,very low,very low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Itigi,Central,Singida,moderate,moderate,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Mbulu TC,Central,Manyara,very low,very low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Songwe,Southwest Highlands,Songwe,moderate,moderate,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Sumbawanga,Southwest Highlands,Rukwa,low,low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Makambako Township Authority,Southern Highlands,Njombe,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Chemba,Central,Dodoma,low,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Mkalama,Central,Singida,low,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Karatu,Northern,Arusha,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Rombo,Northern,Kilimanjaro,very low,very low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Lushoto,Northern,Tanga,low,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Momba,Southwest Highlands,Songwe,moderate,moderate,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Tunduma,Southwest Highlands,Songwe,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Mbeya,Southwest Highlands,Mbeya,urban,low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Korogwe Township Authority,Northern,Tanga,moderate,moderate,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Moshi,Northern,Kilimanjaro,very low,very low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
