NMSPcurrent,District,Zone,Region,Strata,Strata_withoutUrban,NMSPcurrent.withCM,NMSPcurrent.withCM_noITNinLow,NMSPcurrent_label,NMSPcurrent.withCM_label,NMSPcurrent.withCM_noITNinLow_label,revNMSP3a_adj,revNMSP3b_adj_withIPTsc,revNMSP4a_adj_CMall,revNMSP4b_adj_CMall_withIPTsc,revNMSP4c_adj_CMall_withIPTsc_LARVurbanOnly,revNMSP4d_adj_CMall_withIPTsc_MDA_noLARV_inVeryLow,revNMSP7a_adj_VConly,revNMSP7b_adj_VConly_withIPTsc,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,revNMSP8a_new_IPTscHighOnly_SMCmoderat_noLSM,revNMSP8b_new_IPTscHighOnly_SMCmoderat_noLSM_withMDAinvlow,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,revNMSP3a_adj_label,revNMSP3b_adj_withIPTsc_label,revNMSP4a_adj_CMall_label,revNMSP4b_adj_CMall_withIPTsc_label,revNMSP4c_adj_CMall_withIPTsc_LARVurbanOnly_label,revNMSP4d_adj_CMall_withIPTsc_MDA_noLARV_inVeryLow_label,revNMSP7a_adj_VConly_label,revNMSP7b_adj_VConly_withIPTsc_label,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly_label,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow_label,revNMSP8a_new_IPTscHighOnly_SMCmoderat_noLSM_label,revNMSP8b_new_IPTscHighOnly_SMCmoderat_noLSM_withMDAinvlow_label,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM_label
13,Ubungo MC,Eastern,Daressalaam,urban,low,43,43,ITN MRC-LARV,increase in CM - ITN MRC-LARV,increase in CM - ITN MRC-LARV,49,49,49,49,49,49,19,19,19,19,51,51,21,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous
13,Kigamboni,Eastern,Daressalaam,urban,moderate,43,43,ITN MRC-LARV,increase in CM - ITN MRC-LARV,increase in CM - ITN MRC-LARV,55,55,55,55,55,55,25,25,25,25,91,91,83,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,ITN MRC continuous
13,Mbeya Urban,Southwest Highlands,Mbeya,low,low,43,43,ITN MRC-LARV,increase in CM - ITN MRC-LARV,increase in CM - ITN MRC-LARV,49,49,49,49,51,51,19,19,21,19,87,87,79,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous-LARV,ITN continuous-LARV,ITN continuous,ITN continuous-LARV,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,ITN MRC continuous
15,Arusha,Northern,Arusha,very low,very low,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,31,31,31,31,33,32,1,1,3,2,33,32,3,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM,increase in CM-MDA,LARV,LARV,no increase in CM,MDA,increase in CM,increase in CM-MDA,no increase in CM
15,Lushoto,Northern,Tanga,low,low,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,49,49,49,49,51,51,19,19,21,19,87,87,79,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous-LARV,ITN continuous-LARV,ITN continuous,ITN continuous-LARV,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,ITN MRC continuous
15,Babati,Central,Manyara,very low,very low,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,31,31,31,31,33,32,1,1,3,2,33,32,3,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM,increase in CM-MDA,LARV,LARV,no increase in CM,MDA,increase in CM,increase in CM-MDA,no increase in CM
15,Babati Urban,Central,Manyara,very low,very low,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,31,31,31,31,33,32,1,1,3,2,33,32,3,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM,increase in CM-MDA,LARV,LARV,no increase in CM,MDA,increase in CM,increase in CM-MDA,no increase in CM
15,Mafinga Township Authority,Southern Highlands,Iringa,very low,very low,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,31,31,31,31,33,32,1,1,3,2,33,32,3,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM,increase in CM-MDA,LARV,LARV,no increase in CM,MDA,increase in CM,increase in CM-MDA,no increase in CM
15,Bahi,Central,Dodoma,moderate,moderate,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,27,27,57,57,57,57,27,27,27,27,91,91,83,ITN continuous,ITN continuous,increase in CM - ITN continuous,increase in CM - ITN continuous,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous,ITN continuous,ITN continuous,ITN continuous,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,ITN MRC continuous
15,Kalambo,Southwest Highlands,Rukwa,moderate,moderate,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,27,27,57,57,57,57,27,27,27,27,91,91,83,ITN continuous,ITN continuous,increase in CM - ITN continuous,increase in CM - ITN continuous,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous,ITN continuous,ITN continuous,ITN continuous,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,ITN MRC continuous
15,Makete,Southern Highlands,Njombe,very low,very low,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,31,31,31,31,33,32,1,1,3,2,33,32,3,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM,increase in CM-MDA,LARV,LARV,no increase in CM,MDA,increase in CM,increase in CM-MDA,no increase in CM
15,Chamwino,Central,Dodoma,low,low,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,49,49,49,49,51,51,19,19,21,19,87,87,79,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous-LARV,ITN continuous-LARV,ITN continuous,ITN continuous-LARV,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,ITN MRC continuous
15,Karatu,Northern,Arusha,very low,very low,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,31,31,31,31,33,32,1,1,3,2,33,32,3,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM,increase in CM-MDA,LARV,LARV,no increase in CM,MDA,increase in CM,increase in CM-MDA,no increase in CM
15,Chemba,Central,Dodoma,low,low,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,49,49,49,49,51,51,19,19,21,19,87,87,79,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous-LARV,ITN continuous-LARV,ITN continuous,ITN continuous-LARV,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,ITN MRC continuous
15,Chunya,Southwest Highlands,Mbeya,moderate,moderate,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,27,27,57,57,57,57,27,27,27,27,91,91,83,ITN continuous,ITN continuous,increase in CM - ITN continuous,increase in CM - ITN continuous,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous,ITN continuous,ITN continuous,ITN continuous,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,ITN MRC continuous
15,Siha,Northern,Kilimanjaro,very low,very low,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,31,31,31,31,33,32,1,1,3,2,33,32,3,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM,increase in CM-MDA,LARV,LARV,no increase in CM,MDA,increase in CM,increase in CM-MDA,no increase in CM
15,Mbarali,Southwest Highlands,Mbeya,low,low,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,49,49,49,49,51,51,19,19,21,19,87,87,79,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous-LARV,ITN continuous-LARV,ITN continuous,ITN continuous-LARV,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,ITN MRC continuous
15,Bumbuli,Northern,Tanga,very low,very low,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,31,31,31,31,33,32,1,1,3,2,33,32,3,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM,increase in CM-MDA,LARV,LARV,no increase in CM,MDA,increase in CM,increase in CM-MDA,no increase in CM
15,Kondoa,Central,Dodoma,low,low,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,49,49,49,49,51,51,19,19,21,19,87,87,79,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous-LARV,ITN continuous-LARV,ITN continuous,ITN continuous-LARV,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,ITN MRC continuous
15,Hai,Northern,Kilimanjaro,very low,very low,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,31,31,31,31,33,32,1,1,3,2,33,32,3,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM,increase in CM-MDA,LARV,LARV,no increase in CM,MDA,increase in CM,increase in CM-MDA,no increase in CM
15,Ngorongoro,Northern,Arusha,very low,very low,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,31,31,31,31,33,32,1,1,3,2,33,32,3,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM,increase in CM-MDA,LARV,LARV,no increase in CM,MDA,increase in CM,increase in CM-MDA,no increase in CM
15,Busokelo,Southwest Highlands,Mbeya,high,high,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,83,83,91,91,91,91,83,83,83,83,73,73,65,ITN MRC continuous,ITN MRC continuous,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,ITN MRC continuous,ITN MRC continuous,ITN MRC continuous,ITN MRC continuous,increase in CM - ITN continuous-IPTsc,increase in CM - ITN continuous-IPTsc,ITN continuous-IPTsc
15,Kilindi,Northern,Tanga,high,high,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,83,83,91,91,91,91,83,83,83,83,73,73,65,ITN MRC continuous,ITN MRC continuous,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,ITN MRC continuous,ITN MRC continuous,ITN MRC continuous,ITN MRC continuous,increase in CM - ITN continuous-IPTsc,increase in CM - ITN continuous-IPTsc,ITN continuous-IPTsc
15,Kilolo,Southern Highlands,Iringa,low,low,45,45,ITN MRC,increase in CM - ITN MRC,increase in CM - ITN MRC,49,49,49,49,51,51,19,19,21,19,87,87,79,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous-LARV,ITN continuous-LARV,ITN continuous,ITN continuous-LARV,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,ITN MRC continuous
